Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
22	TR	Q6FX78	S-adenosylmethionine synthase OS=Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) OX=284593 GN=SAM1 PE=3 SV=1	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138)	382	1863	93.7	97.6	0.0
23	TR	A0A1X7R3M2	S-adenosylmethionine synthase OS=Maudiozyma saulgeensis OX=1789683 GN=KASA_0N00605G PE=3 SV=1	Maudiozyma saulgeensis	382	1862	93.2	96.6	0.0
24	TR	A0AAV5S013	S-adenosylmethionine synthase OS=Maudiozyma humilis OX=51915 GN=DAKH74_032680 PE=3 SV=1	Maudiozyma humilis	382	1857	92.7	96.6	0.0
25	TR	H0GTH8	S-adenosylmethionine synthase OS=Saccharomyces cerevisiae x Saccharomyces kudriavzevii (strain VIN7) OX=1095631 GN=VIN7_6561 PE=3 SV=1	Saccharomyces cerevisiae x Saccharomyces kudriavzevii (strain VIN7)	384	1846	92.3	97.4	0.0
26	TR	J6EB67	S-adenosylmethionine synthase OS=Saccharomyces kudriavzevii (strain ATCC MYA-4449 / AS 2.2408 / CBS 8840 / NBRC 1802 / NCYC 2889) OX=226230 GN=YDR502C PE=3 SV=1	Saccharomyces kudriavzevii (strain ATCC MYA-4449 / AS 2.2408 / CBS 8840 / NBRC 1802 / NCYC 2889)	384	1846	92.3	97.4	0.0
27	TR	B5VH29	S-adenosylmethionine synthase OS=Saccharomyces cerevisiae (strain AWRI1631) OX=545124 GN=AWRI1631_47210 PE=3 SV=1	Saccharomyces cerevisiae (strain AWRI1631)	384	1845	92.6	97.1	0.0
28	TR	T2A536	S-adenosylmethionine synthase OS=Saccharomyces cerevisiae OX=4932 GN=SAM2 PE=3 SV=1	Saccharomyces cerevisiae	384	1845	92.6	97.1	0.0
29	TR	A0A6C1DQU3	S-adenosylmethionine synthase OS=Saccharomyces pastorianus OX=27292 GN=SAM2_1 PE=3 SV=1	Saccharomyces pastorianus	384	1845	92.6	97.1	0.0
30	TR	N1P7G8	S-adenosylmethionine synthase OS=Saccharomyces cerevisiae (strain CEN.PK113-7D) OX=889517 GN=CENPK1137D_4331 PE=3 SV=1	Saccharomyces cerevisiae (strain CEN.PK113-7D)	384	1845	92.6	97.1	0.0
31	TR	H0GET2	S-adenosylmethionine synthase OS=Saccharomyces cerevisiae x Saccharomyces kudriavzevii (strain VIN7) OX=1095631 GN=VIN7_1175 PE=3 SV=1	Saccharomyces cerevisiae x Saccharomyces kudriavzevii (strain VIN7)	384	1845	92.6	97.1	0.0
32	TR	G2WBN0	S-adenosylmethionine synthase OS=Saccharomyces cerevisiae (strain Kyokai no. 7 / NBRC 101557) OX=721032 GN=K7_SAM2 PE=3 SV=1	Saccharomyces cerevisiae (strain Kyokai no. 7 / NBRC 101557)	384	1845	92.6	97.1	0.0
33	TR	A0A0L8VU17	S-adenosylmethionine synthase OS=Saccharomyces boulardii (nom. inval.) OX=252598 GN=KO01_01266 PE=3 SV=1	Saccharomyces boulardii (nom. inval.)	384	1845	92.6	97.1	0.0
34	TR	A6ZZ91	S-adenosylmethionine synthase OS=Saccharomyces cerevisiae (strain YJM789) OX=307796 GN=SAM2 PE=3 SV=1	Saccharomyces cerevisiae (strain YJM789)	384	1845	92.6	97.1	0.0
35	TR	C7GKT8	S-adenosylmethionine synthase OS=Saccharomyces cerevisiae (strain JAY291) OX=574961 GN=SAM2 PE=3 SV=1	Saccharomyces cerevisiae (strain JAY291)	384	1845	92.6	97.1	0.0
36	SP	P19358	S-adenosylmethionine synthase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SAM2 PE=1 SV=3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	384	1845	92.6	97.1	0.0
37	TR	A0A8B8UPK6	S-adenosylmethionine synthase OS=Saccharomyces paradoxus OX=27291 GN=SPAR_D06780 PE=3 SV=1	Saccharomyces paradoxus	384	1843	92.3	97.1	0.0
38	TR	C8Z659	S-adenosylmethionine synthase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1D0_8174g PE=3 SV=1	Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse)	384	1841	92.3	97.1	0.0
39	TR	B3LFG5	S-adenosylmethionine synthase OS=Saccharomyces cerevisiae (strain RM11-1a) OX=285006 GN=SCRG_00040 PE=3 SV=1	Saccharomyces cerevisiae (strain RM11-1a)	384	1841	92.3	97.1	0.0
40	TR	J8PXX3	S-adenosylmethionine synthase OS=Saccharomyces arboricola (strain H-6 / AS 2.3317 / CBS 10644) OX=1160507 GN=SU7_2801 PE=3 SV=1	Saccharomyces arboricola (strain H-6 / AS 2.3317 / CBS 10644)	384	1837	91.8	97.6	0.0
41	TR	A0A6C1E4Z1	S-adenosylmethionine synthase OS=Saccharomyces pastorianus OX=27292 GN=SAM2_2 PE=3 SV=1	Saccharomyces pastorianus	384	1832	92.0	97.6	0.0
42	TR	A0AA35JC86	S-adenosylmethionine synthase OS=Saccharomyces uvarum OX=230603 GN=SUVC02G6070 PE=3 SV=1	Saccharomyces uvarum	384	1832	92.0	97.9	0.0
43	TR	A0AA35IZ01	S-adenosylmethionine synthase OS=Saccharomyces mikatae IFO 1815 OX=226126 GN=SMKI04G6950 PE=3 SV=1	Saccharomyces mikatae IFO 1815	384	1826	91.5	97.1	0.0
44	TR	A0AAN7W228	S-adenosylmethionine synthase OS=Arxiozyma heterogenica OX=278026 GN=RI543_003506 PE=3 SV=1	Arxiozyma heterogenica	382	1824	89.5	95.8	0.0
45	TR	A0A7H9AV54	S-adenosylmethionine synthase OS=Zygotorulaspora mrakii OX=42260 GN=HG535_0A00750 PE=3 SV=1	Zygotorulaspora mrakii	382	1822	90.6	96.1	0.0
46	TR	J7RW28	S-adenosylmethionine synthase OS=Huiozyma naganishii (strain ATCC MYA-139 / BCRC 22969 / CBS 8797 / KCTC 17520 / NBRC 10181 / NCYC 3082 / Yp74L-3) OX=1071383 GN=KNAG0C00630 PE=3 SV=1	Huiozyma naganishii (strain ATCC MYA-139 / BCRC 22969 / CBS 8797 / KCTC 17520 / NBRC 10181 / NCYC 3082 / Yp74L-3)	382	1822	90.6	95.8	0.0
47	TR	G0V569	S-adenosylmethionine synthase OS=Naumovozyma castellii OX=27288 GN=NCAS0A00450 PE=3 SV=1	Naumovozyma castellii	387	1819	91.8	97.1	0.0
48	TR	A7TF93	S-adenosylmethionine synthase OS=Vanderwaltozyma polyspora (strain ATCC 22028 / DSM 70294 / BCRC 21397 / CBS 2163 / NBRC 10782 / NRRL Y-8283 / UCD 57-17) OX=436907 GN=Kpol_2000p86 PE=3 SV=1	Vanderwaltozyma polyspora (strain ATCC 22028 / DSM 70294 / BCRC 21397 / CBS 2163 / NBRC 10782 / NRRL Y-8283 / UCD 57-17)	382	1811	90.3	95.8	0.0
49	TR	H2ATK3	S-adenosylmethionine synthase OS=Kazachstania africana (strain ATCC 22294 / BCRC 22015 / CBS 2517 / CECT 1963 / NBRC 1671 / NRRL Y-8276) OX=1071382 GN=KAFR0D00560 PE=3 SV=1	Kazachstania africana (strain ATCC 22294 / BCRC 22015 / CBS 2517 / CECT 1963 / NBRC 1671 / NRRL Y-8276)	382	1806	88.2	96.1	0.0
50	TR	A0A1Q2ZZ12	S-adenosylmethionine synthase OS=Zygosaccharomyces rouxii OX=4956 GN=ZYGR_0K00480 PE=3 SV=1	Zygosaccharomyces rouxii	382	1806	89.0	95.8	0.0
51	TR	A0A7H9HLQ2	S-adenosylmethionine synthase OS=Torulaspora globosa OX=48254 GN=HG537_0B00770 PE=3 SV=1	Torulaspora globosa	382	1805	90.3	96.1	0.0
52	TR	A0A7G3ZCH9	S-adenosylmethionine synthase OS=Torulaspora globosa OX=48254 GN=HG536_0B00760 PE=3 SV=1	Torulaspora globosa	382	1801	90.0	96.1	0.0
53	TR	I2GXN7	S-adenosylmethionine synthase OS=Henningerozyma blattae (strain ATCC 34711 / CBS 6284 / DSM 70876 / NBRC 10599 / NRRL Y-10934 / UCD 77-7) OX=1071380 GN=TBLA0B00450 PE=3 SV=1	Henningerozyma blattae (strain ATCC 34711 / CBS 6284 / DSM 70876 / NBRC 10599 / NRRL Y-10934 / UCD 77-7)	382	1795	90.5	95.5	0.0
54	TR	G8ZQP6	S-adenosylmethionine synthase OS=Torulaspora delbrueckii OX=4950 GN=TDEL0C06440 PE=3 SV=1	Torulaspora delbrueckii	382	1794	89.7	95.8	0.0
55	TR	C5DZ08	S-adenosylmethionine synthase OS=Zygosaccharomyces rouxii (strain ATCC 2623 / CBS 732 / NBRC 1130 / NCYC 568 / NRRL Y-229) OX=559307 GN=ZYRO0F17248g PE=3 SV=1	Zygosaccharomyces rouxii (strain ATCC 2623 / CBS 732 / NBRC 1130 / NCYC 568 / NRRL Y-229)	382	1789	88.5	95.3	0.0
56	TR	B2G446	S-adenosylmethionine synthase OS=Zygosaccharomyces rouxii OX=4956 GN=Zr_SAM2 and Zr_SAM1 PE=3 SV=1	Zygosaccharomyces rouxii	382	1789	88.5	95.3	0.0
57	TR	G0WD91	S-adenosylmethionine synthase OS=Naumovozyma dairenensis (strain ATCC 10597 / BCRC 20456 / CBS 421 / NBRC 0211 / NRRL Y-12639) OX=1071378 GN=NDAI0F04340 PE=3 SV=1	Naumovozyma dairenensis (strain ATCC 10597 / BCRC 20456 / CBS 421 / NBRC 0211 / NRRL Y-12639)	454	1788	89.9	96.6	0.0
58	TR	A0A4C2ECA7	S-adenosylmethionine synthase OS=Zygosaccharomyces mellis OX=42258 GN=SAM2 PE=3 SV=1	Zygosaccharomyces mellis	382	1785	88.2	95.0	0.0
59	TR	A0A8J2XB36	S-adenosylmethionine synthase OS=Zygosaccharomyces bailii (strain CLIB 213 / ATCC 58445 / CBS 680 / BCRC 21525 / NBRC 1098 / NCYC 1416 / NRRL Y-2227) OX=1333698 GN=BN860_01508g PE=3 SV=1	Zygosaccharomyces bailii (strain CLIB 213 / ATCC 58445 / CBS 680 / BCRC 21525 / NBRC 1098 / NCYC 1416 / NRRL Y-2227)	382	1783	88.2	95.3	0.0
60	TR	G8BQ57	S-adenosylmethionine synthase OS=Tetrapisispora phaffii (strain ATCC 24235 / CBS 4417 / NBRC 1672 / NRRL Y-8282 / UCD 70-5) OX=1071381 GN=TPHA0B04690 PE=3 SV=1	Tetrapisispora phaffii (strain ATCC 24235 / CBS 4417 / NBRC 1672 / NRRL Y-8282 / UCD 70-5)	382	1782	88.0	95.3	0.0
61	TR	A0A0P1KVL0	S-adenosylmethionine synthase OS=Lachancea quebecensis OX=1654605 GN=LAQU0_S15e01420g PE=3 SV=1	Lachancea quebecensis	382	1777	87.9	95.0	0.0
62	TR	C5DK50	S-adenosylmethionine synthase OS=Lachancea thermotolerans (strain ATCC 56472 / CBS 6340 / NRRL Y-8284) OX=559295 GN=KLTH0F01782g PE=3 SV=1	Lachancea thermotolerans (strain ATCC 56472 / CBS 6340 / NRRL Y-8284)	382	1776	87.9	95.0	0.0
63	TR	W0T4F1	S-adenosylmethionine synthase OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=SAM2 PE=3 SV=1	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275)	384	1775	88.6	94.7	0.0
64	TR	A0A1G4K5G4	S-adenosylmethionine synthase OS=Lachancea meyersii CBS 8951 OX=1266667 GN=LAME_0G01618G PE=3 SV=1	Lachancea meyersii CBS 8951	382	1774	89.0	94.2	0.0
65	TR	A0A1E5RH68	S-adenosylmethionine synthase OS=Hanseniaspora osmophila OX=56408 GN=AWRI3579_g1605 PE=3 SV=1	Hanseniaspora osmophila	383	1773	88.3	95.0	0.0
66	TR	A0A1G4JX54	S-adenosylmethionine synthase OS=Lachancea sp. 'fantastica' OX=1230904 GN=LAFA_0G01662G PE=3 SV=1	Lachancea sp. 'fantastica'	382	1772	88.5	94.2	0.0
67	TR	A0A1G4MGK8	S-adenosylmethionine synthase OS=Lachancea fermentati OX=4955 GN=LAFE_0G01728G PE=3 SV=1	Lachancea fermentati	384	1771	88.9	95.2	0.0
68	TR	R9XB61	S-adenosylmethionine synthase OS=Ashbya aceri OX=566037 GN=AACERI_AaceriAFR692C PE=3 SV=1	Ashbya aceri	382	1769	86.6	94.8	0.0
69	TR	A0A1G4JVY8	S-adenosylmethionine synthase OS=Lachancea mirantina OX=1230905 GN=LAMI_0F01596G PE=3 SV=1	Lachancea mirantina	384	1768	88.7	95.3	0.0
70	TR	A0A376B9E3	S-adenosylmethionine synthase OS=Saccharomycodes ludwigii OX=36035 GN=SCODWIG_03064 PE=3 SV=1	Saccharomycodes ludwigii	384	1768	88.4	94.5	0.0
71	TR	A0A0A8L1N1	S-adenosylmethionine synthase OS=Kluyveromyces dobzhanskii CBS 2104 OX=1427455 GN=KLDO_g1046 PE=3 SV=1	Kluyveromyces dobzhanskii CBS 2104	383	1767	88.4	95.2	0.0
72	TR	Q751Y3	S-adenosylmethionine synthase OS=Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) OX=284811 GN=AGOS_AFR692C PE=3 SV=1	Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056)	382	1767	86.4	94.8	0.0
73	TR	A0A0C7N2E0	S-adenosylmethionine synthase OS=Lachancea lanzarotensis OX=1245769 GN=LALA0_S11e01464g PE=3 SV=1	Lachancea lanzarotensis	382	1767	88.5	94.0	0.0
74	TR	Q6CUW4	S-adenosylmethionine synthase OS=Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) OX=284590 GN=KLLA0_C01782g PE=3 SV=1	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37)	384	1763	88.4	94.4	0.0
75	TR	Q6FNW9	S-adenosylmethionine synthase OS=Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) OX=284593 GN=SAM2 PE=3 SV=1	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138)	383	1762	87.6	95.8	0.0
76	TR	A0A0W0DH26	S-adenosylmethionine synthase OS=Candida glabrata OX=5478 GN=AO440_003128 PE=3 SV=1	Candida glabrata	383	1758	87.3	95.8	0.0
77	TR	A0A1G4JZE3	S-adenosylmethionine synthase OS=Lachancea dasiensis OX=1072105 GN=LADA_0H01662G PE=3 SV=1	Lachancea dasiensis	382	1754	87.1	94.5	0.0
78	TR	A0A109UVW4	S-adenosylmethionine synthase OS=Eremothecium sinecaudum OX=45286 GN=AW171_hschr31359 PE=3 SV=1	Eremothecium sinecaudum	382	1753	85.9	94.5	0.0
79	TR	A0A1G4KEW6	S-adenosylmethionine synthase OS=Lachancea nothofagi CBS 11611 OX=1266666 GN=LANO_0G01596G PE=3 SV=1	Lachancea nothofagi CBS 11611	382	1747	86.9	94.0	0.0
80	TR	A0A1L0FIX3	S-adenosylmethionine synthase OS=Hanseniaspora guilliermondii OX=56406 GN=HGUI_01758 PE=3 SV=1	Hanseniaspora guilliermondii	383	1737	87.2	93.7	0.0
81	TR	A0A1E5RXP2	S-adenosylmethionine synthase OS=Hanseniaspora opuntiae OX=211096 GN=AWRI3578_g161 PE=3 SV=1	Hanseniaspora opuntiae	383	1737	87.2	93.7	0.0
82	TR	G8JMB2	S-adenosylmethionine synthase OS=Eremothecium cymbalariae (strain CBS 270.75 / DBVPG 7215 / KCTC 17166 / NRRL Y-17582) OX=931890 GN=Ecym_1063 PE=3 SV=1	Eremothecium cymbalariae (strain CBS 270.75 / DBVPG 7215 / KCTC 17166 / NRRL Y-17582)	382	1727	85.3	93.5	0.0
83	TR	A0A1E5S0Z2	S-adenosylmethionine synthase OS=Hanseniaspora uvarum OX=29833 GN=AWRI3580_g547 PE=3 SV=1	Hanseniaspora uvarum	383	1718	85.4	93.7	0.0
84	TR	A0A1B7TCF3	S-adenosylmethionine synthase OS=Hanseniaspora valbyensis NRRL Y-1626 OX=766949 GN=HANVADRAFT_80219 PE=3 SV=1	Hanseniaspora valbyensis NRRL Y-1626	383	1706	85.9	92.2	0.0
85	TR	A0AAV5PV35	S-adenosylmethionine synthase OS=Martiniozyma asiatica (nom. inval.) OX=148097 GN=DAMA08_000940 PE=3 SV=1	Martiniozyma asiatica (nom. inval.)	383	1618	81.2	89.4	0.0
86	TR	A0A642UZF9	S-adenosylmethionine synthase OS=Diutina rugosa OX=5481 GN=DIURU_000076 PE=3 SV=1	Diutina rugosa	386	1603	79.9	89.4	0.0
87	TR	G3B0K4	S-adenosylmethionine synthase OS=Candida tenuis (strain ATCC 10573 / BCRC 21748 / CBS 615 / JCM 9827 / NBRC 10315 / NRRL Y-1498 / VKM Y-70) OX=590646 GN=CANTEDRAFT_113173 PE=3 SV=1	Candida tenuis (strain ATCC 10573 / BCRC 21748 / CBS 615 / JCM 9827 / NBRC 10315 / NRRL Y-1498 / VKM Y-70)	385	1602	81.0	89.2	0.0
88	TR	A0A2T0FGI7	S-adenosylmethionine synthase OS=Wickerhamiella sorbophila OX=45607 GN=B9G98_01733 PE=3 SV=1	Wickerhamiella sorbophila	382	1600	80.1	90.0	0.0
89	TR	A0A0L0NT64	S-adenosylmethionine synthase OS=Candidozyma auris OX=498019 GN=QG37_06445 PE=3 SV=1	Candidozyma auris	455	1598	79.1	88.5	0.0
90	TR	A0A2H1A212	S-adenosylmethionine synthase OS=Candidozyma auris OX=498019 GN=B9J08_001467 PE=3 SV=1	Candidozyma auris	382	1598	79.1	88.5	0.0
91	TR	A0A5E8AZ93	S-adenosylmethionine synthase OS=Magnusiomyces paraingens OX=2606893 GN=SAPINGB_P000264 PE=3 SV=1	Magnusiomyces paraingens	389	1597	80.2	89.4	0.0
92	TR	A5DJ50	S-adenosylmethionine synthase OS=Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324) OX=294746 GN=PGUG_03301 PE=3 SV=1	Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324)	382	1597	79.6	88.2	0.0
93	TR	A0A1E4RT64	S-adenosylmethionine synthase OS=Hyphopichia burtonii NRRL Y-1933 OX=984485 GN=HYPBUDRAFT_146771 PE=3 SV=1	Hyphopichia burtonii NRRL Y-1933	383	1593	80.1	88.5	0.0
94	TR	A0AAW0FMV5	S-adenosylmethionine synthase OS=Cerrena zonata OX=2478898 GN=SAM1 PE=3 SV=1	Cerrena zonata	383	1593	80.1	88.5	0.0
95	TR	Q6BPE7	S-adenosylmethionine synthase OS=Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) OX=284592 GN=DEHA2E14212g PE=3 SV=1	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968)	383	1593	79.6	88.0	0.0
96	TR	A0A421J713	S-adenosylmethionine synthase OS=Meyerozyma sp. JA9 OX=2028340 GN=JA9_005055 PE=3 SV=1	Meyerozyma sp. JA9	382	1593	79.3	88.2	0.0
97	TR	A0A9P6WMF3	S-adenosylmethionine synthase OS=Pichia californica OX=460514 GN=MAT1A PE=3 SV=1	Pichia californica	382	1591	79.0	88.5	0.0
98	TR	M3K377	S-adenosylmethionine synthase OS=Candida maltosa (strain Xu316) OX=1245528 GN=G210_5449 PE=3 SV=1	Candida maltosa (strain Xu316)	385	1591	79.9	88.9	0.0
99	TR	A0AAI9SYZ0	S-adenosylmethionine synthase OS=Candida oxycetoniae OX=497107 GN=KGF56_001410 PE=3 SV=1	Candida oxycetoniae	385	1590	80.4	88.4	0.0
100	TR	A0A9W4TUL7	S-adenosylmethionine synthase OS=Candida verbasci OX=1227364 GN=CANVERA_P1383 PE=3 SV=1	Candida verbasci	385	1589	79.7	88.7	0.0
101	TR	A0A8F3AI14	S-adenosylmethionine synthase OS=Candidozyma auris OX=498019 GN=CA7LBN_002667 PE=3 SV=1	Candidozyma auris	561	1587	79.4	88.6	0.0
102	TR	A0A2P7YFI5	S-adenosylmethionine synthase OS=Candidozyma pseudohaemuli OX=418784 GN=C7M61_004919 PE=3 SV=1	Candidozyma pseudohaemuli	382	1586	78.5	88.2	0.0
103	TR	A0A1V2LGP4	S-adenosylmethionine synthase OS=Pichia kudriavzevii OX=4909 GN=BOH78_4546 PE=3 SV=1	Pichia kudriavzevii	987	1586	79.8	88.0	0.0
104	TR	A0A099NYY4	S-adenosylmethionine synthase OS=Pichia kudriavzevii OX=4909 GN=C5L36_0A06070 PE=3 SV=1	Pichia kudriavzevii	383	1586	79.8	88.0	0.0
105	TR	A0A9P7V7Y0	S-adenosylmethionine synthase OS=Scheffersomyces spartinae OX=45513 GN=SAM2 PE=3 SV=1	Scheffersomyces spartinae	384	1586	80.7	87.8	0.0
106	TR	A0A2V1AZT5	S-adenosylmethionine synthase OS=Candidozyma haemuli OX=45357 GN=CXQ85_003109 PE=3 SV=1	Candidozyma haemuli	382	1584	78.3	88.2	0.0
107	TR	C5MCZ9	S-adenosylmethionine synthase OS=Candida tropicalis (strain ATCC MYA-3404 / T1) OX=294747 GN=CTRG_04100 PE=3 SV=1	Candida tropicalis (strain ATCC MYA-3404 / T1)	385	1584	79.7	88.7	0.0
108	TR	A0A367XPT9	S-adenosylmethionine synthase OS=Candida viswanathii OX=5486 GN=sam1_0 PE=3 SV=1	Candida viswanathii	385	1584	79.4	88.7	0.0
109	TR	A0A061BBP8	S-adenosylmethionine synthase OS=Cyberlindnera fabianii OX=36022 GN=BON22_3931 PE=3 SV=1	Cyberlindnera fabianii	385	1584	79.4	88.9	0.0
110	TR	A0A7D9CYL0	S-adenosylmethionine synthase OS=Dekkera bruxellensis OX=5007 GN=SAM1 PE=3 SV=1	Dekkera bruxellensis	386	1584	79.8	88.1	0.0
111	TR	A0A1D8PF68	S-adenosylmethionine synthase OS=Candida albicans (strain SC5314 / ATCC MYA-2876) OX=237561 GN=SAM2 PE=3 SV=1	Candida albicans (strain SC5314 / ATCC MYA-2876)	385	1583	79.4	87.9	0.0
